source,target,original_size,new_size,before_dimensions,after_dimensions
"assets/images/koi-ponds/aquascape-koi4.jpg","assets/media/series/koi-ponds/aquascape-koi4.jpg","116633","116633","520x720","520x720"
"assets/images/koi-ponds/aquascape-koi5.jpg","assets/media/series/koi-ponds/aquascape-koi5.jpg","73005","73005","496x700","496x700"
"assets/images/koi-ponds/features-of-wetland-filter.png","assets/media/series/koi-ponds/features-of-wetland-filter.png","181043","181043","1164x733","1164x733"
"assets/images/koi-ponds/hero-image-koi.jpg","assets/media/series/koi-ponds/hero-image-koi.jpg","478615","253169","1159x752","2000x1297"
"assets/images/koi-ponds/muddy-pond.jpg","assets/media/series/koi-ponds/muddy-pond.jpg","77117","77117","1024x768","1024x768"
"assets/images/koi-ponds/pond-skimmer-1000.jpg","assets/media/series/koi-ponds/pond-skimmer-1000.jpg","15321","15321","474x474","474x474"
"assets/images/koi-ponds/pool-pond-hero.jpg","assets/media/series/koi-ponds/pool-pond-hero.jpg","779711","519856","1159x752","2000x1297"
"assets/images/logo.png","assets/media/site/logo.png","81851","81851","400x282","400x282"
"assets/images/mn-vvs.png","assets/media/suppliers/mn-vvs.png","3828","3828","500x500","500x500"
"assets/images/moerings.png","assets/media/suppliers/moerings.png","39358","39358","500x500","500x500"
"assets/images/mood-image-chairs-by-pool.jpg","assets/media/pages/mood-image-chairs-by-pool.jpg","184456","184456","800x800","800x800"
"assets/images/mood-image-chairs-with-water.jpg","assets/media/pages/mood-image-chairs-with-water.jpg","268027","268027","800x800","800x800"
"assets/images/mood-image-construction-workers.jpg","assets/media/pages/mood-image-construction-workers.jpg","304150","304150","960x960","960x960"
"assets/images/mood-image-girl-in-pool.jpg","assets/media/pages/mood-image-girl-in-pool.jpg","215410","215410","800x800","800x800"
"assets/images/mood-image-palm-pool.jpg","assets/media/pages/mood-image-palm-pool.jpg","331613","331613","800x800","800x800"
"assets/images/mood-image-winter-bath.jpg","assets/media/pages/mood-image-winter-bath.jpg","51462","51462","600x600","600x600"
"assets/images/og-image.png","assets/media/site/og-image.png","90140","90140","1200x630","1200x630"
"assets/images/plunge/aquascape-plunge1.jpg","assets/media/series/plunge/aquascape-plunge1.jpg","205130","205130","736x1104","736x1104"
"assets/images/plunge/aquascape-plunge2.png","assets/media/series/plunge/aquascape-plunge2.jpg","3515282","840950","1024x1536","1024x1536"
"assets/images/plunge/hero-image.jpg","assets/media/series/plunge/hero-image.jpg","782948","472883","1159x752","2000x1297"
"assets/images/plunge/tomelilla-pond.png","assets/media/series/plunge/tomelilla-pond.jpg","2686150","595244","1080x1080","1080x1080"
"assets/images/pricing-fountains.jpg","assets/media/pricing/pricing-fountains.jpg","184998","184998","800x800","800x800"
"assets/images/pricing-koi-ponds.jpg","assets/media/pricing/pricing-koi-ponds.jpg","165773","165773","800x800","800x800"
"assets/images/pricing-landscape.jpg","assets/media/pricing/pricing-landscape.jpg","230280","230280","800x800","800x800"
"assets/images/pricing-nature-pool.jpg","assets/media/pricing/pricing-nature-pool.jpg","279156","279156","800x800","800x800"
"assets/images/pricing-water-storage.jpg","assets/media/pricing/pricing-water-storage.jpg","342948","342948","800x800","800x800"
"assets/images/section-background-1.jpg","assets/media/pages/section-background-1.jpg","170648","170648","1600x900","1600x900"
"assets/images/services-background-2.jpg","assets/media/pages/services-background-2.jpg","772816","437438","1216x832","2000x1368"
"assets/images/services/fountains.jpg","assets/media/services/fountains.jpg","72504","72504","480x320","480x320"
"assets/images/services/koi-ponds.jpg","assets/media/services/koi-ponds.jpg","84990","84990","480x320","480x320"
"assets/images/services/pondless-waterfalls.jpg","assets/media/services/pondless-waterfalls.jpg","79795","79795","480x320","480x320"
"assets/images/services/swim-ponds.jpg","assets/media/services/swim-ponds.jpg","83104","83104","480x320","480x320"
"assets/images/services/water-storage.jpg","assets/media/services/water-storage.jpg","53230","53230","480x320","480x320"
"assets/images/stenbolaget.png","assets/media/suppliers/stenbolaget.png","3512","3512","500x500","500x500"
"assets/images/swim/aquascape-swim1.jpg","assets/media/series/swim/aquascape-swim1.jpg","256723","256723","736x1104","736x1104"
"assets/images/swim/aquascape-swim10.jpg","assets/media/series/swim/aquascape-swim10.jpg","299434","299434","1200x900","1200x900"
"assets/images/swim/aquascape-swim2.jpg","assets/media/series/swim/aquascape-swim2.jpg","442756","442756","1000x1500","1000x1500"
"assets/images/swim/aquascape-swim3.jpg","assets/media/series/swim/aquascape-swim3.jpg","93733","93733","650x488","650x488"
"assets/images/swim/aquascape-swim9.png","assets/media/series/swim/aquascape-swim9.jpg","4195276","990841","1080x1920","1080x1920"
"assets/images/swim/hero-image-swim.jpg","assets/media/series/swim/hero-image-swim.jpg","461279","287114","1159x752","2000x1297"
"assets/images/swim/landing-hero-image.jpg","assets/media/series/swim/landing-hero-image.jpg","757804","451263","1159x752","2000x1297"
